time_s,bytes_cum,bytes_delta,inst_bps,ema_bps,chunk_size
89.061,112665193,672120,2035932.642,2112754.637,8192
89.318,113330737,665544,2588909.851,2207985.680,8192
89.583,113905969,575232,2170403.411,2200469.226,8192
89.843,114483521,577552,2224442.399,2205263.861,8192
90.104,115120465,636944,2443028.701,2252816.829,8192
90.355,115643729,523264,2083821.337,2219017.730,8192
90.620,116301873,658144,2478072.165,2270828.617,8192
90.910,116978041,676168,2335439.081,2283750.710,8192
91.188,117565225,587184,2108365.470,2248673.662,8192
91.477,118208185,642960,2225840.255,2244106.981,8192
91.742,118927793,719608,2720228.926,2339331.370,8192
92.021,119653241,725448,2597045.349,2390874.166,8192
92.286,120378689,725448,2739444.829,2460588.298,8192
92.545,121012913,634224,2449024.984,2458275.635,8192
92.813,121751393,738480,2749616.868,2516543.882,8192
93.099,122514489,763096,2671741.052,2547583.316,8192
93.369,123309441,794952,2941449.412,2626356.535,8192
93.642,124104145,794704,2910224.405,2683130.109,8192
93.905,124913825,809680,3081595.603,2762823.208,8192
94.174,125752217,838392,3119013.216,2834061.210,8192
94.426,126356033,603816,2397208.228,2746690.613,8192
94.682,126828081,472048,1841154.911,2565583.473,8192
94.942,127284201,456120,1757429.157,2403952.610,8192
95.192,127705321,421120,1683939.119,2259949.911,8192
95.488,128097977,392656,1325929.090,2073145.747,8192
